fecha,vel_viento,presion_atmosferica,humedad_relativa,frentes_frios,radiacion_solar,luminosidad,contaminacion_atmosferica,cobertura_nubosa,temperatura
20/09/2018,25,803,62,1,114,41,32,57,14
03/09/2018,27,843,59,1,322,60,73,46,21
26/02/2019,22,848,54,0,464,83,63,57,14
03/07/2021,23,848,48,1,645,44,389,50,23
04/07/2021,26,854,36,1,886,82,220,43,19
02/08/2021,25,858,90,0,565,98,341,47,28
08/05/2023,24,868,23,1,518,13,64,53,21
16/08/2020,30,869,86,1,931,30,320,30,24
19/02/2023,40,870,85,0,747,31,21,61,20
20/10/2019,22,871,70,0,992,57,409,45,24
04/11/2018,34,872,68,1,548,30,84,55,3
23/10/2018,35,874,85,1,780,51,328,72,13
23/05/2018,25,875,24,1,345,26,320,57,15
19/12/2020,34,875,83,1,256,68,417,56,16
02/10/2020,36,876,62,0,904,77,318,46,24
05/01/2023,35,880,47,1,254,69,478,34,16
30/06/2022,21,881,24,1,319,33,490,36,22
01/10/2018,33,882,69,1,194,94,210,39,15
27/11/2020,26,884,40,0,546,40,438,58,20
03/02/2024,37,885,65,0,909,95,419,71,24
13/02/2024,39,885,30,0,799,53,151,63,17
07/10/2019,36,886,81,1,405,7,173,50,19
12/11/2022,34,886,61,1,371,21,134,42,4
27/11/2023,30,886,85,1,184,72,432,46,19
28/06/2020,31,887,35,1,640,63,206,36,25
06/05/2021,27,887,68,1,751,20,394,74,28
17/06/2021,25,888,29,0,786,21,177,56,28
19/09/2021,19,888,83,0,154,42,398,52,30
24/02/2022,31,891,66,0,459,13,306,44,19
03/08/2018,21,892,78,1,910,24,141,66,21
27/09/2021,26,893,71,1,492,61,102,55,15
27/09/2023,27,893,52,0,736,21,201,57,23
14/11/2019,40,894,77,1,253,12,288,62,12
28/06/2021,31,894,81,0,375,72,441,44,36
06/03/2023,35,894,67,1,276,36,10,58,18
26/10/2023,24,894,55,1,595,100,68,44,14
31/05/2020,26,895,36,1,279,35,172,39,20
17/05/2019,26,897,45,1,536,85,236,56,22
25/10/2021,29,898,58,1,692,25,500,51,19
15/09/2019,31,899,72,0,469,10,173,38,22
27/12/2020,25,899,22,0,666,64,340,58,16
04/08/2023,17,900,38,0,705,4,237,65,24
04/04/2019,20,901,20,0,112,93,12,35,25
29/07/2022,34,901,37,1,352,92,134,54,18
20/09/2019,29,902,35,1,557,24,381,44,23
16/08/2021,27,902,37,0,246,44,280,32,18
18/05/2023,17,902,28,1,628,19,222,61,24
10/01/2024,35,902,69,0,697,35,314,59,10
05/09/2018,24,904,31,0,931,1,266,42,20
31/12/2018,29,904,68,1,244,100,248,49,9
17/04/2022,25,904,96,1,800,70,309,36,26
14/12/2022,36,904,76,0,544,83,425,50,20
07/01/2021,37,905,34,1,502,89,63,58,11
26/05/2021,19,905,77,1,631,99,437,49,21
16/10/2021,40,905,75,1,317,42,290,40,12
10/11/2022,30,905,89,0,395,40,191,52,23
21/06/2023,16,905,86,1,178,66,313,44,19
13/02/2023,38,906,21,0,507,38,291,47,13
05/11/2023,33,906,22,1,935,74,455,55,18
03/08/2019,17,907,79,0,589,28,394,45,26
03/01/2020,26,907,23,0,220,91,230,46,16
12/05/2020,31,907,42,1,961,99,227,48,20
21/07/2020,27,907,34,0,610,68,227,43,20
13/10/2023,41,907,61,1,635,52,211,56,10
13/03/2021,32,908,28,0,618,24,452,37,26
29/06/2022,23,908,80,1,956,69,458,43,23
29/08/2018,35,909,35,1,770,36,432,57,17
09/05/2019,19,909,46,0,545,22,359,53,28
04/10/2021,38,909,47,0,649,35,44,39,11
04/01/2024,31,909,43,1,248,45,350,51,16
05/05/2019,43,910,96,1,716,47,422,39,27
02/07/2019,25,910,86,0,549,49,408,59,26
13/04/2021,30,910,52,0,387,7,471,61,27
26/06/2022,34,910,61,0,306,24,328,37,22
12/04/2020,23,911,54,0,558,66,72,68,25
27/05/2022,39,911,27,1,264,60,9,49,15
17/01/2023,36,911,58,1,439,40,52,46,3
19/07/2023,30,911,55,1,913,37,181,48,10
20/12/2021,25,912,75,0,713,82,335,57,26
08/11/2022,26,912,69,0,475,13,19,55,9
15/08/2019,20,913,34,0,387,44,223,59,19
23/08/2020,31,913,28,1,154,44,199,47,16
30/05/2021,16,913,70,0,717,63,224,43,36
27/07/2022,26,913,71,0,140,59,389,49,24
19/12/2022,44,913,78,1,571,56,128,43,15
17/04/2023,12,913,87,1,137,93,90,56,29
28/04/2023,27,913,87,0,119,98,457,44,25
18/04/2018,26,914,40,1,822,10,226,45,19
31/12/2020,24,914,34,0,970,76,357,52,25
18/01/2021,27,914,87,0,393,71,204,53,26
31/07/2022,29,914,37,1,390,93,37,51,24
19/11/2018,27,915,93,1,667,44,250,54,21
08/04/2019,18,915,32,1,128,90,431,53,27
07/08/2019,26,915,87,1,972,56,367,65,22
31/08/2020,25,915,41,1,371,93,165,41,14
09/01/2024,35,915,78,1,229,17,60,44,18
27/05/2019,30,916,99,1,755,94,299,59,30
04/01/2021,30,916,63,1,552,99,449,53,21
07/09/2022,33,916,65,1,271,38,224,45,9
15/10/2022,35,916,74,1,985,40,106,47,12
09/01/2020,29,917,61,1,886,74,456,25,14
27/10/2021,32,917,90,0,385,95,493,65,21
09/09/2022,22,917,75,1,915,57,360,49,26
13/10/2019,34,918,97,0,835,5,219,71,24
24/04/2020,30,918,54,1,212,44,203,31,12
11/10/2019,29,919,81,0,471,87,302,65,19
19/05/2020,24,919,64,1,679,15,161,34,21
21/02/2022,31,919,39,1,584,62,152,55,7
12/08/2022,23,919,30,1,240,4,377,41,21
26/12/2022,24,919,32,1,877,52,225,46,16
10/06/2023,26,919,53,1,374,56,307,55,13
11/02/2024,34,919,40,0,574,62,159,65,14
11/09/2018,26,920,37,1,233,21,268,56,14
21/11/2019,30,920,60,1,732,12,174,54,17
28/02/2020,31,920,37,0,325,33,193,60,19
02/09/2021,22,920,91,0,333,9,423,40,31
22/09/2018,31,921,93,1,210,15,448,29,24
11/10/2020,34,921,39,1,785,68,370,54,15
18/10/2021,35,921,70,0,415,43,207,74,13
19/07/2018,14,922,95,1,162,40,352,46,20
20/12/2018,40,922,34,1,491,2,277,38,3
27/07/2019,31,922,28,0,956,47,30,51,29
13/06/2022,18,922,66,1,728,55,134,42,15
23/07/2022,23,922,25,1,861,49,308,37,18
19/01/2024,37,922,69,0,853,31,120,44,17
02/02/2019,33,923,33,1,576,51,80,61,12
19/06/2019,22,923,73,1,921,62,29,53,20
27/12/2019,34,923,98,1,627,5,329,58,10
31/03/2020,37,923,23,1,772,44,202,43,20
09/06/2020,27,923,29,1,720,22,247,48,18
10/01/2022,37,923,86,1,396,53,63,72,6
04/04/2022,24,923,81,0,876,13,178,59,24
10/02/2024,25,923,23,1,440,30,30,43,14
15/10/2018,33,924,27,0,908,61,103,69,19
22/06/2019,22,924,23,1,260,85,177,44,22
16/12/2019,31,924,53,0,621,60,206,50,14
26/08/2020,28,924,30,0,634,51,391,62,23
18/08/2021,33,924,83,0,889,83,116,35,39
29/10/2021,37,924,67,1,754,80,408,63,21
30/08/2023,19,924,58,1,592,42,269,41,11
04/01/2018,42,925,66,1,863,10,491,28,18
13/07/2018,27,925,93,0,809,44,74,35,23
24/08/2019,28,925,87,1,677,51,294,40,26
07/05/2020,21,925,33,1,613,64,479,31,23
18/04/2021,33,925,88,0,177,19,32,61,36
15/07/2021,24,925,41,1,320,87,264,36,16
20/03/2023,28,925,88,0,415,93,446,67,30
16/10/2023,48,925,24,0,110,34,213,60,14
27/10/2018,18,926,97,0,164,63,217,37,16
30/11/2018,31,926,79,0,124,78,86,40,25
18/06/2020,31,926,24,1,601,9,421,48,14
02/08/2020,32,926,69,1,418,1,127,50,19
23/07/2021,21,926,21,1,752,98,344,47,31
10/09/2019,21,927,94,1,398,62,296,47,21
02/07/2020,21,927,20,1,468,23,487,59,16
30/09/2021,24,927,38,1,649,1,459,35,19
17/07/2022,21,927,21,1,242,75,436,57,17
29/01/2018,30,928,25,0,282,100,394,59,23
09/01/2019,36,928,20,1,279,15,226,26,15
18/03/2020,35,928,52,0,118,35,360,54,29
16/06/2021,25,928,48,0,916,86,324,51,22
29/11/2022,28,928,56,1,981,81,37,44,22
04/09/2023,20,928,74,0,854,100,30,51,24
11/01/2018,38,929,47,1,755,55,498,57,14
12/01/2018,23,929,88,0,938,19,212,52,28
16/02/2018,38,929,96,0,538,77,23,56,18
20/06/2018,24,929,66,1,950,36,110,45,19
09/12/2019,31,929,63,0,147,54,498,47,20
24/07/2022,23,929,82,0,948,38,438,45,30
28/07/2022,25,929,53,1,396,82,234,52,17
01/03/2023,32,929,66,1,829,60,58,53,19
12/08/2023,29,929,37,1,880,77,332,48,20
03/09/2023,30,929,68,0,543,68,249,56,14
06/02/2024,30,929,29,0,734,1,398,45,22
25/03/2018,37,930,68,1,343,58,233,47,5
21/04/2019,31,930,55,0,932,33,302,42,20
10/05/2019,35,930,24,1,478,18,347,39,19
23/11/2018,34,931,42,0,546,76,219,37,19
20/01/2019,30,931,40,1,889,69,88,50,20
14/01/2020,33,931,57,0,337,67,275,52,20
09/12/2020,33,931,43,1,499,61,327,46,7
21/01/2021,29,931,92,0,428,39,99,39,13
02/08/2022,22,931,59,0,805,62,29,60,19
14/01/2023,21,931,33,1,664,41,415,41,16
13/12/2019,27,932,21,0,645,53,96,47,21
23/09/2020,21,932,43,1,935,39,291,46,13
20/01/2021,34,932,44,0,369,41,121,46,14
09/06/2021,27,932,39,0,916,57,381,57,29
05/07/2021,30,932,55,0,593,90,25,69,23
17/11/2019,30,933,43,1,480,17,293,55,17
17/12/2019,32,933,23,1,400,39,376,53,13
11/12/2021,36,933,51,0,262,97,123,52,14
16/08/2022,30,933,89,1,809,89,27,44,27
11/10/2022,42,933,31,1,757,15,372,50,14
19/11/2022,32,933,42,0,148,91,304,43,26
26/07/2023,26,933,95,0,619,92,74,37,21
30/01/2024,43,933,45,0,161,26,211,52,17
18/02/2020,29,934,50,0,762,67,466,53,24
15/05/2021,24,934,68,1,110,93,495,31,27
03/08/2021,18,934,95,0,738,47,272,60,27
03/10/2023,40,934,68,0,245,57,268,53,15
26/06/2018,26,935,61,0,509,82,111,55,23
03/05/2019,21,935,53,1,761,21,217,68,23
11/01/2020,39,935,84,0,193,89,248,56,17
17/08/2020,32,935,60,0,281,54,76,45,28
25/06/2021,23,935,55,0,227,59,48,46,15
15/09/2018,23,936,30,1,804,97,47,66,26
